pkg,depends
agda-stdlib,agda
age,glibc
age-plugin-tkey,glibc
age-plugin-tpm,glibc
age-plugin-yubikey,gcc-libs
age-plugin-yubikey,glibc
age-plugin-yubikey,pcsclite
agordejo,hicolor-icon-theme
agordejo,new-session-manager
agordejo,python
agordejo,python-pyqt5
agordejo,python-pyxdg
agordejo,ttf-dejavu
aha,glibc
aichat,gcc-libs
aichat,glibc
aida-x,aida-x-clap
aida-x,aida-x-lv2
aida-x,aida-x-standalone
aida-x,aida-x-vst
aida-x,aida-x-vst3
aida-x-clap,dbus
aida-x-clap,gcc-libs
aida-x-clap,glibc
aida-x-clap,clap-host
aida-x-clap,libglvnd
aida-x-clap,libx11
aida-x-clap,libxext
aida-x-lv2,dbus
aida-x-lv2,gcc-libs
aida-x-lv2,glibc
aida-x-lv2,libglvnd
