pkg,replaces
ttf-roboto-mono-nerd,nerd-fonts-roboto-mono
ttf-scheherazade-new,ttf-sil-scheherazade
ttf-sourcecodepro-nerd,nerd-fonts-source-code-pro
ttf-space-mono-nerd,nerd-fonts-source-space-mono
ttf-terminus-nerd,nerd-fonts-terminus
ttf-tinos-nerd,nerd-fonts-source-tinos
ttf-ubuntu-mono-nerd,nerd-fonts-ubuntu-mono
ttf-ubuntu-mono-nerd,ttf-ubuntumono-nerd
ttf-ubuntu-nerd,nerd-fonts-ubuntu
ttf-victor-mono-nerd,ttf-nerd-fonts-victor-mono
tupitube,tupitube.desk
twine,python-twine
typst,typst-bin
ublock-origin,chromium-ublock-origin
