package,provides
"gap-packages","gap-matricesforhomalg=2024.02.01"
"gap-packages","gap-modisom=2.5.4"
"gap-packages","gap-modulepresentationsforcap=2024.04.01"
"gap-packages","gap-modules=2024.01.01"
"gap-packages","gap-monoidalcategories=2024.06.01"
"gap-packages","gap-nconvex=2022.09.01"
"gap-packages","gap-nilmat=1.4.2"
"gap-packages","gap-nock=1.5"
"gap-packages","gap-normalizinterface=1.3.6"
"gap-packages","gap-nq=2.5.11"
"gap-packages","gap-numericalsgps=1.3.1"
"gap-packages","gap-openmath=11.5.3"
"gap-packages","gap-orb=4.9.0"
"gap-packages","gap-packagemanager=1.4.3"
"gap-packages","gap-patternclass=2.4.3"
"gap-packages","gap-permut=2.0.5"
"gap-packages","gap-polymaking=0.8.7"
"gap-packages","gap-profiling=2.5.4"
"gap-packages","gap-qdistrnd=0.9.4"
"gap-packages","gap-qpa=1.35"
"gap-packages","gap-quagroup=1.8.4"
"gap-packages","gap-rcwa=4.7.1"
"gap-packages","gap-rds=1.8"
"gap-packages","gap-recog=1.4.2"
"gap-packages","gap-repndecomp=1.3.0"
"gap-packages","gap-repsn=3.1.2"
"gap-packages","gap-ringsforhomalg=2023.11.02"
"gap-packages","gap-sco=2023.08.01"
"gap-packages","gap-scscp=2.4.2"
"gap-packages","gap-semigroups=5.3.7"
"gap-packages","gap-sglppow=2.4"
"gap-packages","gap-sgpviz=0.999.5"
"gap-packages","gap-simpcomp=2.1.14"
"gap-packages","gap-singular=2024.06.03"
"gap-packages","gap-sl2reps=1.1"
"gap-packages","gap-sla=1.5.3"
"gap-packages","gap-smallsemi=0.7.0"
"gap-packages","gap-sonata=2.9.6"
"gap-packages","gap-sotgrps=1.2"
"gap-packages","gap-spinsym=1.5.2"
"gap-packages","gap-standardff=1.0"
"gap-packages","gap-symbcompcc=1.3.2"
"gap-packages","gap-thelma=1.3"
"gap-packages","gap-toolsforhomalg=2023.11.01"
"gap-packages","gap-toric=1.9.5"
"gap-packages","gap-toricvarieties=2022.07.13"
"gap-packages","gap-typeset=1.2.2"
"gap-packages","gap-ugaly=4.1.3"
"gap-packages","gap-unipot=1.5"
"gap-packages","gap-unitlib=4.2.0"
"gap-packages","gap-uuid=0.7"
"gap-packages","gap-walrus=0.9991"
"gap-packages","gap-wedderga=4.10.5"
"gap-packages","gap-xgap=4.32"
"gap-packages","gap-xmod=2.92"
"gap-packages","gap-xmodalg=1.23"
"gap-packages","gap-yangbaxter=0.10.3"
"gap-packages","gap-zeromqinterface=0.14"
"gap","gap-alnuth=3.2.1"
"gap","gap-atlasrep=2.1.8"
"gap","gap-autodoc=2023.06.19"
"gap","gap-autpgrp=1.11"
"gap","gap-crisp=1.4.6"
"gap","gap-ctbllib=1.3.9"
"gap","gap-doc"
"gap","gap-factint=1.6.3"
"gap","gap-fga=1.5.0"
"gap","gap-gapdoc=1.6.7"
"gap","gap-irredsol=1.4.4"
"gap","gap-laguna=3.9.6"
"gap","gap-polenta=1.3.10"
"gap","gap-polycyclic=2.16"
"gap","gap-primgrp=3.4.4"
"gap","gap-radiroot=2.9"
"gap","gap-resclasses=4.7.3"
"gap","gap-smallgrp=1.5.3"
"gap","gap-sophus=1.27"
"gap","gap-tomlib=1.2.11"
"gap","gap-transgrp=3.6.5"
"gap","gap-utils=0.85"
"gawk","awk"
"gcab","libgcab-1.0.so=0-64"
"gcc-ada","gcc-ada-multilib"
"gcc-d","gdc"
"gcc-fortran","gcc-fortran-multilib"
"gcc-go","gcc-go-multilib"
"gcc-go","go=1.17"
"gcc-libs","gcc-libs-multilib"
"gcc-libs","libasan.so=8-64"
"gcc-libs","libgfortran.so=5-64"
"gcc-libs","libgo.so=23-64"
"gcc-libs","libgphobos.so=5-64"
"gcc-libs","liblsan.so=0-64"
"gcc-libs","libtsan.so=2-64"
"gcc-libs","libubsan.so=1-64"
"gcc-objc","gcc-objc-multilib"
"gcc","gcc-multilib"
"gcr-4","libgck-2.so=2-64"
"gcr-4","libgcr-4.so=4-64"
"gcr","libgck-1.so=0-64"
"gcr","libgcr-base-3.so=1-64"
"gcr","libgcr-ui-3.so=1-64"
"gdbm","libgdbm.so=6-64"
"gdbm","libgdbm_compat.so=4-64"
"gdk-pixbuf-xlib","libgdk_pixbuf_xlib-2.0.so=0-64"
"gdk-pixbuf2","libgdk_pixbuf-2.0.so=0-64"
"gearmand","gearman=1.1.21"
"geoclue","geoclue2=2.7.2-1"
"geocode-glib-2","libgeocode-glib-2.so=0-64"
