package,replaces
"opencl-clover-mesa","opencl-mesa<=23.1.4-1"
"opencl-rusticl-mesa","opencl-mesa<=23.1.4-1"
"opendesktop-fonts","ttf-fireflysung"
"opendoas","doas"
"openssl","openssl-doc"
"openssl","openssl-perl"
"otf-atkinson-hyperlegible","atkinson-hyperlegible-fonts"
"otf-crimson","otf-crimson-text"
"otf-droid-nerd","nerd-fonts-droid-sans-mono"
"otf-firamono-nerd","nerd-fonts-fira-mono"
"otf-hasklig-nerd","nerd-fonts-hasklig"
"otf-hermit-nerd","nerd-fonts-hermit"
"otf-ipaexfont","ttf-ipaex"
"otf-libertinus","libertinus-font"
"otf-montserrat","montserrat-otf"
"otf-overpass-nerd","nerd-fonts-overpass"
"oxygen5","oxygen<5.27.80"
"p8-platform","libplatform"
"pam-u2f","pam_u2f"
"pandoc-cli","pandoc"
"pandoc-crossref","haskell-pandoc-crossref"
"paraview","paraview-opt"
"pass","passmenu"
"perl-anyevent-xmpp","perl-net-xmpp2"
"perl-crypt-passwdmd5","perl-passwd-md5"
"perl-email-mime","perl-email-mime-creator"
"perl-email-mime","perl-email-mime-modifier"
"perl-email-simple","perl-email-simple-creator"
"perl-goocanvas2","perl-goo-canvas2"
"perl-html-formatter","perl-html-formattext"
"perl-image-exiftool","perl-exiftool"
"perl-image-sane","perl-sane"
"perl-net-ssleay","net-ssleay"
"perl-string-shellquote","string-shellquote"
"perl-timedate","timedate"
"perl-xml-libxml","perl-libxml"
"perl-xml-libxml","perl-xml-libxml-common"
"php-legacy","php-legacy-intl"
"php","php-intl"
"pifpaf","python-pifpaf"
"pkgconf","pkg-config"
"plasma-activities-stats","kactivities-stats"
"plasma-activities","kactivities"
"plasma-applet-window-buttons","plasma5-applets-window-buttons"
"plasma-framework5","plasma-framework<5.111"
"plasma-systemmonitor","ksysguard"
"plasma-workspace","plasma-wayland-session"
"plasma5-integration","plasma-integration<5.27.80"
"plocate","mlocate"
"pluma","pluma-gtk3"
"pnetcdf-openmpi","parallel-netcdf"
"pnetcdf-openmpi","parallel-netcdf-openmpi"
"postorius","python-django-postorius"
"powerline","powerline-common"
"powerline","python-powerline"
"praat","praat-bin"
"pragha","dissonance"
"pre-commit","python-pre-commit"
"prison5","prison<5.111"
"procinfo-ng","procinfo"
"procps-ng","procps"
"procps-ng","sysvinit-tools"
"progress","cv"
"prometheus-postgres-exporter","prometheus-postgresql-exporter"
"protobuf","protobuf-cpp"
"proxychains-ng","proxychains"
"psi-nowebengine","psi-nowebkit"
"pulseaudio","pulseaudio-gconf<=11.1"
"pulseaudio","pulseaudio-xen<=9.0"
"puppet","hiera"
"purpose5","purpose<5.111"
"python-absl","absl-py"
"python-argon2-cffi","python-argon2_cffi"
